booking_id,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,arrival_date,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
HB-084778,City Hotel,0,1,2024,March,9,2,2024-03-02,0,1,1,0.0,0,BB,PRT,Corporate,Direct,0,0,0,A,K,0,No Deposit,,219.0,0,Transient,88.0,0,0
HB-033946,Resort Hotel,0,0,2025,March,10,7,2025-03-07,0,1,1,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240.0,,0,Transient-Party,60.0,0,0
HB-110475,City Hotel,0,95,2025,April,17,24,2025-04-24,1,3,2,0.0,0,BB,IRL,Groups,TA/TO,0,0,0,A,A,0,No Deposit,,424.0,0,Transient-Party,100.0,0,0
HB-052309,City Hotel,1,177,2024,June,23,3,2024-06-03,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,119.0,,0,Transient-Party,100.0,0,0
HB-011941,Resort Hotel,1,69,2025,June,23,4,2025-06-04,1,0,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,144.0,0,1
HB-006610,Resort Hotel,1,177,2024,June,25,20,2024-06-20,1,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,Non Refund,240.0,,0,Transient,85.5,0,0
HB-049807,City Hotel,1,85,2024,April,16,19,2024-04-19,0,4,2,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,124.53,0,0
HB-089416,City Hotel,0,28,2024,May,20,19,2024-05-19,0,2,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,174.0,0,Transient-Party,100.0,0,0
HB-114869,City Hotel,0,25,2025,June,26,27,2025-06-27,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,,280.0,0,Transient-Party,95.0,0,0
HB-110476,City Hotel,0,102,2025,April,17,24,2025-04-24,1,3,1,0.0,0,BB,IRL,Groups,TA/TO,0,0,0,A,A,1,No Deposit,,424.0,0,Transient-Party,90.0,0,0
HB-097424,City Hotel,0,68,2024,September,37,11,2024-09-11,2,3,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,145.8,0,1
HB-021849,Resort Hotel,0,46,2024,March,11,11,2024-03-11,0,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,3,No Deposit,375.0,,0,Transient-Party,29.0,0,0
HB-037364,Resort Hotel,0,13,2025,June,24,13,2025-06-13,0,2,1,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,132.0,0,0
HB-048238,City Hotel,1,393,2024,March,12,19,2024-03-19,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.8,0,0
HB-072598,City Hotel,1,493,2025,August,31,1,2025-08-01,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,229.0,,0,Transient,90.0,0,0
HB-037796,Resort Hotel,0,251,2025,June,26,26,2025-06-26,1,3,2,0.0,0,HB,CN,Groups,TA/TO,0,0,0,D,D,0,No Deposit,96.0,,0,Transient-Party,108.0,0,0
HB-018657,Resort Hotel,0,6,2024,December,52,27,2024-12-27,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,2,A,A,2,No Deposit,94.0,,0,Transient,27.0,1,0
HB-029092,Resort Hotel,0,68,2024,October,42,16,2024-10-16,2,2,2,0.0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,96.0,,0,Transient,46.0,0,0
HB-073835,City Hotel,1,307,2023,August,33,20,2023-08-20,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,1,1,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.8,0,0
HB-100986,City Hotel,0,51,2024,November,44,1,2024-11-01,0,4,3,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,144.0,0,1
HB-106207,City Hotel,0,2,2025,February,8,22,2025-02-22,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,C,0,No Deposit,,219.0,0,Transient,89.0,0,2
HB-075714,City Hotel,1,302,2023,August,33,15,2023-08-15,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0
HB-095640,City Hotel,0,219,2024,August,34,20,2024-08-20,1,1,2,0.0,0,HB,ITA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,96.0,0,0
HB-105180,City Hotel,0,1,2025,January,5,30,2025-01-30,1,1,2,0.0,0,BB,CHN,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,81.99,0,2
HB-023693,Resort Hotel,0,197,2024,April,18,30,2024-04-30,1,1,2,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,A,C,0,No Deposit,298.0,,0,Transient-Party,85.0,0,0
HB-081508,City Hotel,0,11,2023,December,50,11,2023-12-11,0,2,2,0.0,0,BB,PRT,Complementary,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,0.0,0,1
HB-071170,City Hotel,1,120,2025,June,26,29,2025-06-29,0,1,3,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,3,No Deposit,9.0,,0,Transient,171.0,0,0
HB-023750,Resort Hotel,0,30,2024,April,18,30,2024-04-30,1,1,3,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,240.0,,0,Transient,160.5,0,2
HB-082609,City Hotel,0,75,2023,December,52,27,2023-12-27,2,5,2,1.0,0,BB,DEU,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,,0,Transient,113.81,0,1
HB-074444,City Hotel,1,304,2023,August,33,17,2023-08-17,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Contract,62.0,0,0
HB-093272,City Hotel,0,32,2024,July,29,18,2024-07-18,1,1,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,2,No Deposit,39.0,,0,Transient-Party,105.0,0,1
HB-042505,City Hotel,1,0,2023,September,36,6,2023-09-06,2,0,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,6.0,0,0
HB-092179,City Hotel,0,53,2024,June,26,30,2024-06-30,0,2,2,0.0,0,BB,LBN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,119.7,0,1
HB-038749,Resort Hotel,0,163,2025,July,30,24,2025-07-24,1,4,2,2.0,0,BB,POL,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,240.0,,0,Transient,214.0,0,1
HB-010611,Resort Hotel,1,3,2025,March,12,19,2025-03-19,1,0,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,20.0,0,Transient,35.0,0,0
HB-049156,City Hotel,1,45,2024,April,14,7,2024-04-07,0,1,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,112.5,0,0
HB-063854,City Hotel,1,58,2025,February,8,23,2025-02-23,1,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,132.0,,0,Transient,78.0,0,0
HB-104913,City Hotel,0,9,2025,January,4,21,2025-01-21,2,2,1,0.0,0,BB,USA,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,77.0,,0,Transient-Party,65.0,0,0
HB-040428,City Hotel,1,110,2023,July,30,25,2023-07-25,2,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17.0,,0,Transient-Party,94.5,0,0
HB-048869,City Hotel,0,88,2024,March,13,31,2024-03-31,2,6,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,72.25,0,1
HB-051571,City Hotel,1,24,2024,May,21,21,2024-05-21,2,1,3,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,8.0,,0,Transient,285.17,0,0
HB-109933,City Hotel,0,129,2025,April,15,12,2025-04-12,2,5,3,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient-Party,170.36,0,3
HB-036833,Resort Hotel,0,40,2025,May,22,28,2025-05-28,2,0,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,,0,Transient,75.6,0,1
HB-097139,City Hotel,0,15,2024,September,37,12,2024-09-12,1,0,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,9.0,,0,Transient,127.0,0,2
HB-015348,Resort Hotel,1,260,2023,September,38,19,2023-09-19,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,96.0,,0,Transient,54.99,0,0
HB-061417,City Hotel,1,229,2024,December,50,9,2024-12-09,1,2,2,0.0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,67.5,0,0
HB-031777,Resort Hotel,0,2,2025,January,1,3,2025-01-03,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,64.0,1,1
HB-053681,City Hotel,1,69,2024,June,26,27,2024-06-27,1,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,111.9,0,0
HB-051684,City Hotel,1,158,2024,May,21,24,2024-05-24,0,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,37.0,,31,Transient,130.0,0,0
HB-067119,City Hotel,1,285,2025,April,18,28,2025-04-28,2,2,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,104.4,0,2
HB-095786,City Hotel,0,36,2024,August,34,19,2024-08-19,2,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,135.9,0,1
HB-039886,Resort Hotel,0,185,2025,August,35,27,2025-08-27,2,2,2,0.0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,410.0,,0,Transient,116.5,0,2
HB-019014,Resort Hotel,0,0,2023,December,49,4,2023-12-04,1,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,49.07,0,3
HB-091319,City Hotel,0,45,2024,June,25,17,2024-06-17,1,2,2,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,65.0,0,1
HB-093706,City Hotel,0,18,2024,July,30,23,2024-07-23,1,1,1,2.0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,E,1,No Deposit,9.0,,0,Transient,187.0,0,0
HB-100975,City Hotel,0,64,2024,November,44,1,2024-11-01,0,4,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,126.0,0,1
HB-098480,City Hotel,0,0,2024,September,39,29,2024-09-29,0,1,2,0.0,0,SC,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,,,0,Transient,170.0,0,0
HB-083298,City Hotel,0,4,2024,January,4,24,2024-01-24,2,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,63.6,0,0
HB-068208,City Hotel,1,104,2025,May,20,15,2025-05-15,1,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,160.0,0,0
HB-098783,City Hotel,0,12,2024,October,40,2,2024-10-02,2,1,1,0.0,0,BB,USA,Offline TA/TO,GDS,0,0,0,A,A,0,No Deposit,195.0,,0,Transient,6.0,0,0
HB-008172,Resort Hotel,0,336,2024,September,37,15,2024-09-15,0,3,2,0.0,0,BB,GBR,Groups,Direct,0,0,0,A,E,0,No Deposit,,223.0,0,Transient-Party,66.0,0,0
HB-029639,Resort Hotel,0,160,2024,October,44,28,2024-10-28,2,3,2,2.0,0,BB,GBR,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,105.8,0,0
HB-028440,Resort Hotel,0,0,2024,October,40,2,2024-10-02,1,0,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,105.0,0,0
HB-024904,Resort Hotel,0,117,2024,May,22,30,2024-05-30,3,6,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,E,1,No Deposit,115.0,,0,Transient,68.4,0,1
HB-113954,City Hotel,0,39,2025,June,24,12,2025-06-12,1,2,2,0.0,0,BB,AUT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,27.0,,0,Transient,108.0,0,0
HB-098329,City Hotel,0,1,2024,September,39,27,2024-09-27,0,1,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,1,No Deposit,,320.0,0,Transient,115.0,0,0
HB-067728,City Hotel,1,162,2025,May,19,6,2025-05-06,2,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,3.0,,0,Transient,80.0,0,0
HB-043456,City Hotel,1,74,2023,September,38,18,2023-09-18,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,6.0,,0,Transient-Party,101.5,0,0
HB-090849,City Hotel,0,83,2024,June,24,10,2024-06-10,1,2,3,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,210.6,0,2
HB-000371,Resort Hotel,0,101,2023,July,28,13,2023-07-13,1,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,107.2,0,0
HB-003319,Resort Hotel,0,66,2023,December,49,5,2023-12-05,1,1,2,0.0,0,FB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,155.0,,0,Transient-Party,64.0,0,0
HB-079825,City Hotel,0,0,2023,November,44,5,2023-11-05,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,135.0,0,Transient,89.0,0,0
HB-098710,City Hotel,0,281,2024,October,40,1,2024-10-01,2,1,2,1.0,0,HB,ITA,Groups,TA/TO,0,0,0,A,A,1,No Deposit,1.0,,174,Transient-Party,96.0,0,0
HB-023707,Resort Hotel,0,197,2024,April,18,30,2024-04-30,1,1,2,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,A,D,0,No Deposit,298.0,,0,Transient-Party,85.0,0,0
HB-091045,City Hotel,0,0,2024,June,24,13,2024-06-13,1,2,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,,0,Transient,80.75,0,0
HB-053486,City Hotel,1,2,2024,June,25,22,2024-06-22,0,1,1,0.0,0,SC,DEU,Offline TA/TO,GDS,0,0,0,A,A,0,No Deposit,195.0,,0,Transient,124.0,0,0
HB-036102,Resort Hotel,0,95,2025,May,18,3,2025-05-03,2,5,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient,92.0,1,2
HB-050629,City Hotel,1,302,2024,May,18,5,2024-05-05,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0
HB-047363,City Hotel,1,44,2024,February,7,17,2024-02-17,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44.0,,3,Transient,75.0,0,0
HB-041673,City Hotel,0,2,2023,August,34,21,2023-08-21,1,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,100.67,0,2
HB-116348,City Hotel,0,183,2025,July,28,12,2025-07-12,2,4,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,42.0,,0,Transient,80.1,0,1
HB-020150,Resort Hotel,0,0,2024,January,3,16,2024-01-16,0,1,2,0.0,0,BB,CHN,Direct,Direct,0,0,0,A,D,0,No Deposit,,,0,Transient,44.0,0,0
HB-073560,City Hotel,1,518,2025,August,35,26,2025-08-26,2,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229.0,,0,Transient-Party,90.0,0,0
HB-070187,City Hotel,1,173,2025,June,24,11,2025-06-11,2,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,140.0,0,0
HB-006735,Resort Hotel,1,174,2024,June,26,27,2024-06-27,3,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,76.5,0,1
HB-060172,City Hotel,1,277,2024,November,45,7,2024-11-07,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,100.0,0,0
HB-046473,City Hotel,1,150,2024,January,1,2,2024-01-02,2,1,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,21.0,,91,Transient,101.0,0,0
HB-060426,City Hotel,1,489,2024,November,45,10,2024-11-10,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.8,0,0
HB-113668,City Hotel,0,131,2025,June,23,8,2025-06-08,0,3,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,144.0,0,1
HB-086861,City Hotel,0,115,2024,April,15,8,2024-04-08,0,2,1,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,A,A,1,No Deposit,1.0,,34,Transient-Party,57.5,0,0
HB-108498,City Hotel,0,206,2025,March,13,26,2025-03-26,2,1,2,0.0,0,BB,CN,Groups,TA/TO,0,0,0,A,A,0,No Deposit,296.0,,0,Transient-Party,72.0,0,0
HB-096762,City Hotel,0,163,2024,September,36,5,2024-09-05,1,2,2,0.0,0,HB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,161.1,0,2
HB-060176,City Hotel,1,626,2024,November,45,7,2024-11-07,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.8,0,0
HB-043078,City Hotel,1,135,2023,September,37,14,2023-09-14,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,90.0,0,0
HB-006405,Resort Hotel,1,142,2024,June,23,8,2024-06-08,1,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,125.6,0,1
HB-111906,City Hotel,0,50,2025,May,20,14,2025-05-14,2,1,2,0.0,0,BB,IRL,Direct,Direct,0,0,0,A,B,0,No Deposit,14.0,,0,Transient,144.0,0,0
HB-003238,Resort Hotel,1,157,2023,November,47,23,2023-11-23,1,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,32.4,0,0
HB-068177,City Hotel,1,98,2025,May,20,14,2025-05-14,3,5,2,0.0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,121.88,0,0
HB-050662,City Hotel,1,259,2024,May,18,5,2024-05-05,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,53.0,,60,Transient,90.0,0,0
HB-094528,City Hotel,0,80,2024,August,31,3,2024-08-03,0,3,3,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,135.27,0,1
HB-056832,City Hotel,1,433,2024,September,37,15,2024-09-15,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0
HB-097079,City Hotel,0,6,2024,September,36,8,2024-09-08,1,3,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,161.5,0,2
HB-119282,City Hotel,0,158,2025,August,35,31,2025-08-31,0,2,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,83.0,,0,Transient,126.0,1,0
HB-047093,City Hotel,0,45,2024,February,6,6,2024-02-06,2,2,1,0.0,0,SC,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,11.0,,0,Transient,46.9,0,1
HB-111235,City Hotel,0,179,2025,May,19,5,2025-05-05,1,2,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,99.0,0,0
HB-018838,Resort Hotel,0,4,2023,November,48,27,2023-11-27,1,2,1,0.0,0,SC,ESP,Groups,Corporate,0,0,0,A,I,2,No Deposit,,343.0,0,Transient-Party,0.0,0,0
HB-053684,City Hotel,1,57,2024,June,26,27,2024-06-27,1,2,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,77.85,0,0
HB-118856,City Hotel,0,101,2025,August,34,20,2025-08-20,2,4,1,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,135.0,0,1
HB-039446,Resort Hotel,0,140,2025,August,32,8,2025-08-08,2,8,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,,0,Contract,153.5,0,0
HB-083901,City Hotel,0,1,2024,February,7,14,2024-02-14,0,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,,0,Transient,0.0,0,2
HB-007811,Resort Hotel,1,219,2024,August,35,27,2024-08-27,4,6,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,134.0,0,1
HB-020207,Resort Hotel,0,1,2024,January,3,19,2024-01-19,0,1,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,E,E,0,No Deposit,,,0,Transient,61.0,0,0
HB-069312,City Hotel,1,130,2025,May,22,30,2025-05-30,0,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.0,0,0
HB-002456,Resort Hotel,0,2,2023,October,42,17,2023-10-17,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,,,0,Transient,67.0,0,0
HB-095435,City Hotel,0,84,2024,August,33,15,2024-08-15,1,3,2,0.0,0,BB,POL,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9.0,,0,Transient,131.4,0,0
HB-066366,City Hotel,1,5,2025,April,16,18,2025-04-18,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,174.0,0,Transient,95.0,0,0
HB-075966,City Hotel,1,301,2023,August,33,14,2023-08-14,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,6.0,,0,Transient-Party,101.5,0,0
HB-100743,City Hotel,0,5,2024,October,44,29,2024-10-29,2,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,146.67,0,0
HB-021011,Resort Hotel,0,4,2024,February,7,14,2024-02-14,1,0,2,1.0,0,HB,PRT,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,240.0,,0,Transient,125.0,0,2
HB-057654,City Hotel,1,160,2024,September,39,29,2024-09-29,1,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,131.4,0,1
HB-082301,City Hotel,0,35,2023,December,52,26,2023-12-26,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient-Party,97.0,0,1
HB-010198,Resort Hotel,1,69,2025,February,8,19,2025-02-19,2,3,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,42.0,0,2
HB-094750,City Hotel,0,149,2024,August,31,3,2024-08-03,2,4,2,1.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,119.0,0,1
HB-096993,City Hotel,0,183,2024,September,36,8,2024-09-08,0,3,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,44.0,,0,Transient-Party,110.0,0,1
HB-083395,City Hotel,0,15,2024,January,5,29,2024-01-29,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,87.0,0,2
HB-055634,City Hotel,1,405,2024,August,33,18,2024-08-18,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0
HB-007220,Resort Hotel,0,322,2024,July,30,28,2024-07-28,2,4,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,128.0,0,1
HB-059619,City Hotel,1,75,2024,October,44,30,2024-10-30,2,0,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,20.0,,0,Transient,105.0,0,0
HB-043743,City Hotel,0,50,2023,September,38,24,2023-09-24,0,1,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,86.4,0,1
HB-104187,City Hotel,0,40,2025,January,1,3,2025-01-03,0,5,3,0.0,0,HB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,125.66,0,2
HB-003717,Resort Hotel,0,90,2023,December,52,31,2023-12-31,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,66.02,0,0
HB-019493,Resort Hotel,0,6,2024,December,52,27,2024-12-27,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,1,A,A,0,No Deposit,94.0,,0,Transient,27.0,0,0
HB-035640,Resort Hotel,0,252,2025,April,17,22,2025-04-22,2,5,2,0.0,0,BB,GBR,Groups,TA/TO,0,0,0,D,D,2,No Deposit,273.0,,0,Transient-Party,76.8,0,0
HB-111418,City Hotel,0,108,2025,May,19,7,2025-05-07,2,2,2,0.0,0,BB,IRL,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,108.0,0,1
HB-079016,City Hotel,0,5,2024,December,49,5,2024-12-05,1,0,1,0.0,0,BB,PRT,Complementary,Corporate,1,2,8,A,A,0,No Deposit,,45.0,0,Transient,0.0,1,1
HB-016274,Resort Hotel,0,100,2023,August,33,17,2023-08-17,1,4,2,0.0,0,HB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,149.2,0,0
HB-004332,Resort Hotel,1,162,2024,March,10,4,2024-03-04,6,15,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,96.0,,0,Transient,82.0,0,0
